Name,Slide #,Strip #,Slice #,Position #,Objective Score,Subjective Score
Slide01_Strip00_Slice01_Position01.tif,1,0,1,1,"90,4084915785",-8
Slide01_Strip00_Slice01_Position02.tif,1,0,1,2,"87,9868772072",-7
Slide01_Strip00_Slice01_Position03.tif,1,0,1,3,"88,6678839704",-7
Slide01_Strip00_Slice01_Position04.tif,1,0,1,4,"92,7488673749",-7
Slide01_Strip00_Slice01_Position05.tif,1,0,1,5,"91,5582195015",-8
Slide01_Strip00_Slice01_Position06.tif,1,0,1,6,"90,6496399964",-7
Slide01_Strip00_Slice01_Position07.tif,1,0,1,7,"89,6988698428",-8
Slide01_Strip00_Slice01_Position08.tif,1,0,1,8,"90,4350065649",-8
Slide01_Strip00_Slice01_Position09.tif,1,0,1,9,"83,8193388308",-8
Slide01_Strip00_Slice01_Position10.tif,1,0,1,10,"95,0758119063",-7
Slide01_Strip00_Slice01_Position11.tif,1,0,1,11,"84,0842766366",-8
Slide01_Strip00_Slice01_Position12.tif,1,0,1,12,"87,2343396867",-7
Slide01_Strip00_Slice01_Position13.tif,1,0,1,13,"81,4911133282",-7
Slide01_Strip00_Slice01_Position14.tif,1,0,1,14,"87,0413150553",-8
Slide01_Strip00_Slice01_Position15.tif,1,0,1,15,"95,4928997488",-7
Slide01_Strip00_Slice01_Position16.tif,1,0,1,16,"89,8639586141",-7
Slide01_Strip00_Slice01_Position17.tif,1,0,1,17,"90,2031381991",-8
Slide01_Strip00_Slice01_Position18.tif,1,0,1,18,"76,389263229",-7
Slide01_Strip00_Slice01_Position19.tif,1,0,1,19,"91,586360462",-7
Slide01_Strip00_Slice01_Position20.tif,1,0,1,20,"80,8201165581",-7
Slide01_Strip00_Slice01_Position21.tif,1,0,1,21,"94,8120678602",-7
Slide01_Strip00_Slice01_Position22.tif,1,0,1,22,"93,6237565136",-8
Slide01_Strip00_Slice01_Position23.tif,1,0,1,23,"89,352444507",-7
Slide01_Strip00_Slice01_Position24.tif,1,0,1,24,"92,6342718637",-7
Slide01_Strip00_Slice01_Position25.tif,1,0,1,25,"98,3255158723",-9
Slide01_Strip00_Slice01_Position26.tif,1,0,1,26,"94,0101298034",-8
Slide01_Strip00_Slice01_Position27.tif,1,0,1,27,"74,7251634766",-7
Slide01_Strip00_Slice01_Position28.tif,1,0,1,28,"88,1450913988",-8
Slide01_Strip00_Slice01_Position29.tif,1,0,1,29,"90,2761765196",-8
Slide01_Strip00_Slice01_Position30.tif,1,0,1,30,"90,271441202",-8
Slide01_Strip00_Slice02_Position01.tif,1,0,2,1,"86,2485302399",-7
Slide01_Strip00_Slice02_Position02.tif,1,0,2,2,"83,7060754554",-6
Slide01_Strip00_Slice02_Position03.tif,1,0,2,3,"92,232240433",-6
Slide01_Strip00_Slice02_Position04.tif,1,0,2,4,"86,0763355221",-6
Slide01_Strip00_Slice02_Position05.tif,1,0,2,5,"94,4713793618",-7
Slide01_Strip00_Slice02_Position06.tif,1,0,2,6,"86,3167927747",-6
Slide01_Strip00_Slice02_Position07.tif,1,0,2,7,"89,7218489894",-7
Slide01_Strip00_Slice02_Position08.tif,1,0,2,8,"87,0417519421",-7
Slide01_Strip00_Slice02_Position09.tif,1,0,2,9,"78,5550096622",-7
Slide01_Strip00_Slice02_Position10.tif,1,0,2,10,"89,6562198027",-6
Slide01_Strip00_Slice02_Position11.tif,1,0,2,11,"83,3590611061",-7
Slide01_Strip00_Slice02_Position12.tif,1,0,2,12,"90,3362561181",-6
Slide01_Strip00_Slice02_Position13.tif,1,0,2,13,"76,0409121285",-6
